id,lat,lon,name,address,capacity
114,-23.6013159109,-46.6817056467,114 - Rua Alvorada,114 - Rua Alvorada,15
115,-23.6001574647,-46.6894766023,115 - Praça Procopio Ferreira,Praça Procopio Ferreira,19
116,-23.5993155583,-46.6871809639,116 - Praça Dr. Francisco Patti,116 - Praça Dr. Francisco Patti,15
117,-23.5966593672,-46.6865907226,117 - Cubo Itaú,117 - Cubo Itaú,23
118,-23.5977973921,-46.6840348376,118 - Rua Júlio Diniz,118 - Rua Júlio Diniz,19
119,-23.5970325358,-46.6804311376,119 - Rua Quatá,119 - Rua Quatá,11
120,-23.5997736418,-46.6795527222,120 - Rua Gomes de Carvalho,Rua Gomes de Carvalho,15
121,-23.5978131886,-46.6776630782,121 - Insper,121 - Insper,23
122,-23.6006795982,-46.6754248187,122 - Rua Baluarte,122 - Rua Baluarte,15
123,-23.5945372856,-46.6736972021,123 - Rua Egito,123 - Rua Egito,15
124,-23.5940306201,-46.6692773589,124 - Praça PereIra Coutinho,Praça PereIra Coutinho,11
125,-23.597229667,-46.6716583619,125 - Natividade,125 - Natividade,10
126,-23.6013401704,-46.6711916348,126 - Graúna,Graúna,11
127,-23.6003698246,-46.6689210203,127 - Jacutinga,127 - Jacutinga,11
128,-23.5965496425,-46.6665456773,128 - R. Sampaio Góis,128 - R. Sampaio Góis,19
129,-23.599832,-46.666141,129 - Sabiá,Sabiá,11
130,-23.5958044965,-46.6630082901,130 – Menotti Del Pecchia,130 – Menotti Del Pecchia,23
131,-23.5934574009,-46.6593627344,131 - Pq. Ibirapuera Portão 06,131 - Pq. Ibirapuera Portão 06,11
132,-23.5921163887,-46.6553996394,132 - Pq. Ibirapuera Portão 05,132 - Pq. Ibirapuera Portão 05,11
133,-23.5946168878,-46.6549765176,133 - Avenida Ibirapuera,133 - Avenida Ibirapuera,11
137,-23.5941970433,-46.6867928228,137 - Rua do Rocio,137 - Rua do Rocio,23
138,-23.5936014852,-46.6800723303,138 - Chilon,138 - Chilon,23
140,-23.5907483495,-46.688863188,140 - JK Iguatemi,140 - JK Iguatemi,18
141,-23.5827091296,-46.6838868604,141 - Praça Luis Carlos Paraná,141 - Praça Luis Carlos Paraná,23
143,-23.5841082601,-46.6779598578,143- Rua João Cachoeira,143- Rua João Cachoeira,23
144,-23.5870546521,-46.6810655326,144 - Rua Iguatemi,144 - Rua Iguatemi,23
145,-23.6049719309,-46.6962601886,145 - CPTM BERRINI,145 - CPTM BERRINI,11
147,-23.5921511669,-46.6800998764,147 - Rua Min Jesuíno Cardoso II,147 - Rua Min Jesuíno Cardoso II,35
148,-23.5716457159,-46.649879564,148 - R. Maria Figueiredo,148 - R. Maria Figueiredo,11
149,-23.575185201,-46.6442442465,149 - Rua Afonso de Freitas,Rua Afonso de Freitas,11
150,-23.5749909631,-46.6415215998,150 - Metrô Paraiso,150 - Metrô Paraiso,19
151,-23.5700337707,-46.6397357204,151 – Centro Cultural SP,151 – Centro Cultural SP,23
152,-23.5632996266,-46.6443299969,152 – Santa Madalena,152 – Santa Madalena,11
153,-23.5604966383,-46.6422656826,153 – Monsenhor Passaláqua,153 – Monsenhor Passaláqua,11
154,-23.557768,-46.639812,154 – R. Condessa de São Joaquim,154 – R. Condessa de São Joaquim,11
155,-23.5626885922,-46.6469450459,155 – R. dos Belgas,155 – R. dos Belgas,11
157,-23.5577605189,-46.6443804158,157 – Theatro Ribalta,157 – Theatro Ribalta,11
159,-23.5578026018,-46.6497844241,159 – R. Rocha,159 – R. Rocha,11
162,-23.5550645493,-46.6520335102,162 – Herculano de Freitas,162 – Herculano de Freitas,11
163,-23.5530167175,-46.6510376596,163 – Paim,163 – Paim,11
165,-23.5520481656,-46.6568015418,165 – Cemitério Consolação,165 – Cemitério Consolação,11
167,-23.5485777016,-46.6471562051,167 – Praça Roosevelt,167 – Praça Roosevelt,11
169,-23.5526573545,-46.6423831739,169 – Rua São Domingos,169 – Rua São Domingos,11
172,-23.5497934689,-46.6332353979,172 – Praça da Sé,172 – Praça da Sé,11
174,-23.5491978638,-46.6370206403,174 – Largo São Francisco,174 – Largo São Francisco,11
175,-23.5571155527,-46.6587216176,175 – Luis Coelho,175 – Luis Coelho,19
176,-23.545327,-46.643202,176 – R. Cel. Xavier de Toledo,176 – R. Cel. Xavier de Toledo,23
177,-23.5428158801,-46.6395339949,177 – Av. São João,177 – Av. São João,11
178,-23.5456630544,-46.6432462652,178 – Av. São Luís,178 – Av. São Luís,14
181,-23.5398674287,-46.6498022181,181 – Metrô Santa Cecilia,181 – Metrô Santa Cecilia,11
183,-23.5453248194,-46.6517183208,183 – Higienopolis,183 – Higienopolis,11
186,-23.5488591214,-46.655346231,186 – Itambé,186 – Itambé,11
187,-23.545606551,-46.6570562939,187 – Parque Buenos Aires,187 – Parque Buenos Aires,11
189,-23.5706120024,-46.6904882734,189 - CEMG FARIA LIMA,189 - CEMG FARIA LIMA,23
192,-23.5434907884,-46.6606310404,192 – Pernambuco,192 – Pernambuco,11
194,-23.5415334087,-46.6555547196,194 – Jaguaribe,194 – Jaguaribe,11
196,-23.5369791042,-46.6541473967,196 – Alameda Barros,196 – Alameda Barros,10
197,-23.5390004149,-46.6579044578,197 – Albuquerque Lins,197 – Albuquerque Lins,10
198,-23.535997,-46.65684,198 – Marechal Deodoro,198 – Marechal Deodoro,11
199,-23.534797,-46.660245,199 – Conselheiro Brotero,199 – Conselheiro Brotero,14
201,-23.5515095992,-46.6781700464,201 - Metro Sumaré,201 - Metro Sumaré,27
202,-23.5550575383,-46.6742094115,202 - Arruda Alvim,202 - Arruda Alvim,23
203,-23.5548629887,-46.6775456763,203 - Capote Valente 822,203 - Capote Valente 822,15
204,-23.556692302,-46.6641315195,204- Consolação,204- Consolação,19
205,-23.5580398903,-46.6661513892,205 - Alameda Itú 1579,205 - Alameda Itú 1579,11
206,-23.5593136394,-46.6688849237,206 - Alameda Tietê,206 - Alameda Tietê,15
207,-23.5618593839,-46.6676581144,207 - Bela Cintra,207 - Bela Cintra,15
208,-23.561165,-46.670801,208 - Rua Dr. Melo Alves,208 - Rua Dr. Melo Alves,23
209,-23.5651842191,-46.669195276,209 - Haddock Lobo,209 - Haddock Lobo,15
210,-23.5575062869,-46.6756645397,210 - Capote Valente 429,210 - Capote Valente 429,11
211,-23.5603113369,-46.6736825865,211 - Capote Valente,211 - Capote Valente,19
212,-23.5633581561,-46.673013823,212 - R. Estados Unidos,212 - R. Estados Unidos,15
213,-23.5650721362,-46.6724205111,213 - Guadelupe,213 - Guadelupe,15
214,-23.5570291433,-46.6801551112,214 - João Moura,214 - João Moura,15
215,-23.5594417332,-46.6784556406,215 - E.E. Godofredo Furtado,215 - E.E. Godofredo Furtado,15
216,-23.5621418901,-46.6765358521,216 - João Moura 328,216 - João Moura 328,15
217,-23.5651645971,-46.6766107744,217 - Alameda Gabriel,217 - Alameda Gabriel,19
218,-23.5586744936,-46.6829811972,218 - Cemitério Cardeal,218 - Cemitério Cardeal,15
219,-23.562560239,-46.6827775153,219 - Rua Joaquim Antunes,Rua Joaquim Antunes,15
220,-23.5643368077,-46.6798554933,220 - R. dos Pinheiros,220 - R. dos Pinheiros,15
221,-23.5664969187,-46.6799180128,221 - Sampaio Vidal 27,221 - Sampaio Vidal 27,15
222,-23.5587392338,-46.6871313396,222 - Rua Horácio Lane,222 - Rua Horácio Lane,15
223,-23.5620789029,-46.6871566756,223 -Fradique Coutinho,223 -Fradique Coutinho,23
224,-23.5655318804,-46.6848831892,224 - Metrô Fradique Coutinho,224 - Metrô Fradique Coutinho,27
225,-23.5687716946,-46.6841990408,225 - Sampaio Vidal 530,225 - Sampaio Vidal 530,15
226,-23.5590071011,-46.6894700055,226 - Fradique Coutinho 941,226 - Fradique Coutinho 941,15
227,-23.5610082884,-46.6908515921,227 - R. Simão Álvares,227 - R. Simão Álvares,15
229,-23.5661229934,-46.6876470783,229 - Arthur de Azevedo,Arthur de Azevedo,11
230,-23.5701301112,-46.6864501541,230 - Rua Mariano Correia,230 - Rua Mariano Correia,15
231,-23.5614126775,-46.6953706304,231 - Instituto Tomie Ohtake,231 - Instituto Tomie Ohtake,11
232,-23.5652988888,-46.6956636532,232 - Sumidouro,232 - Sumidouro,15
233,-23.5642515753,-46.6990586763,233 - Paraopeba,233 - Paraopeba,15
234,-23.5587771,-46.699386023,234 - Praça Roquete Pinto,234 - Praça Roquete Pinto,15
235,-23.5602113148,-46.7008351861,235 - CETESB,235 - CETESB,17
236,-23.5567956482,-46.702026421,236 - Praça Ernami Braga,praça ernami Braga,11
238,-23.5553785016,-46.7054156711,238 - Avenida dos Semaneiros,238 - Avenida dos Semaneiros,15
239,-23.5584938,-46.7067852,239 - Avenida Antônio Batuira,239 - Avenida Antônio Batuira,15
240,-23.5541789045,-46.7079871253,240 - Praça Panamericana,240 - Praça Panamericana,23
241,-23.556796783,-46.7109312356,241 - CPTM Cidade Universitária,241 - CPTM Cidade Universitária,23
261,-23.5510667055,-46.7118416376,261- Praça Pero Vaz de Caminha,261- Praça Pero Vaz de Caminha,15
262,-23.5501563899,-46.717571267,262 - Colégio Santa Cruz,262 - Colégio Santa Cruz,23
263,-23.5470791935,-46.716293267,263 - Praça Beethoven,263 - Praça Beethoven,15
264,-23.5435015915,-46.7256937405,264 - Parque Vila Lobos Portão 2,264 - Parque Vila Lobos Portão 2,19
267,-23.545607836,-46.7324399933,267 - CPTM Vila Lobos Jaguaré,267 - CPTM Vila Lobos Jaguaré,23
268,-23.5636823644,-46.6515349966,268 - Hotel Maksoud Plaza,268 - Hotel Maksoud Plaza,11
269,-23.535868,-46.726758,269 - R. Blumenau,269 - R. Blumenau,15
270,-23.533249,-46.731082,270 - R. Nagel,270 - R. Nagel,15
271,-23.531196,-46.731937,271 - R. Fröben,271 - R. Fröben,15
272,-23.6232726725,-46.670066722,272 – República do Iraque,272 – República do Iraque,20
273,-23.529005,-46.732888,273 - R. Hayden,273 - R. Hayden,11
274,-23.5282989,-46.737114,274 - BAUMANN,274 - BAUMANN,19
275,-23.52751,-46.734407,275 - R. Hassib Mofarrej,275 - R. Hassib Mofarrej,27
276,-23.524723,-46.736451,276 - R. Carneiro da Silva,276 - R. Carneiro da Silva,27
